tau,X_CO
0.00030000000000000014,0.030443677521625037
0.0003233442791475641,0.02999864067422888
0.000348505076191526,0.029570036144628446
0.0003756237421347191,0.029156118320441116
0.000404852627104204,0.028755325186841024
0.00043635593624002114,0.028366257505135856
0.0004703106521842996,0.027987661239653017
0.0005069075293531768,0.027618412591635503
0.0005463521655772519,0.0272575050719302
0.0005888661571309567,0.026904038251195642
0.0006346883436396845,0.026557207877363445
0.0006840761498584498,0.026216297130547
0.0007373070318600713,0.02588066883383343
0.0007946800357574158,0.025549758474962877
0.0008565174777164723,0.02522306792608953
0.000923166754698408,0.024900159763306808
0.0009950022961031759,0.02458065211019988
0.0010724276672788413,0.024264213942790446
0.0011558778367139351,0.023950560800912537
0.0012458216196497085,0.02363945085830182
0.0013427643118402856,0.02333068131807094
0.0014472505282569063,0.023024085094258517
0.0015598672626838668,0.022719527755456718
0.0016812471853946624,0.022416904702747226
0.00181207219743436,0.02211613856125386
0.001953077261475851,0.02181717676576213
0.0021050545307713577,0.021519989322599832
0.0022688577993952583,0.02122456673442995
0.0024454072987792935,0.020930918071566967
0.0026356948674866078,0.020639069180276883
0.002840789523267968,0.02034906101558685
0.003061843468703443,0.020060948089070305
0.003300098564168639,0.019774797021800683
0.003556893304490065,0.019490685195631477
0.003833670338483789,0.019208699493365688
0.004131984573621457,0.018928935122359224
0.004453511911354948,0.01865149451327711
0.004800058662173852,0.018376486290565642
0.0051735716932887425,0.018104024305130396
0.005576149365948968,0.01783422672800341
0.006010053323839716,0.017567215196568738
0.00647772119878458,0.017303114011033925
0.006981780305132979,0.017042049375480553
0.007525062399766267,0.01678414867921213
0.008110619590642871,0.01652953981599731
0.008741741483255098,0.016278350535817655
0.009421973661324912,0.016030707826752963
0.010155137605561458,0.015786737324506247
0.01094535216238196,0.015546562745132301
0.01179705668320542,0.015310305340884138
0.012715035964313354,0.015078083375191459
0.013704447127387501,0.014850011616398488
0.014770848591736717,0.014626200848263335
0.015920231300976397,0.014406757396528608
0.017159052379588983,0.01419178267122642
0.01849427140844496,0.013981372724308832
0.019933389523076796,0.01377561782269944
0.021484491554356236,0.013574602038734009
0.023156291448317465,0.013378402856860866
0.02495818122029036,0.01318709079918665
0.02690028371836351,0.013000729072409923
0.02899350949259734,0.012819373236724637
0.0312496180894731,0.012643070898249958
0.03368128411592451,0.012471861430820762
0.03630216844409303,0.012305775725629178
0.03912699495682901,0.012144835974362273
0.042171633265087494,0.01198905548692866
0.0454531878619171,0.01183843854875608
0.0489900942139013,0.011692980316270809
0.052802222329883866,0.011552666758916334
0.05691098838881895,0.011417474646384838
0.06133947505386016,0.011287371580616328
0.06611256114860131,0.011162316083886521
0.07125706142397913,0.011042257732868082
0.07680187720103406,0.010927137347646823
0.08277815873582686,0.010816887233553096
0.08921948021866187,0.010711431472996033
0.09616202839074522,0.010610686272071703
0.1036448058379102,0.010514560355199404
0.11170985010349435,0.010422955402620344
0.12040246985132268,0.010335766545422977
0.12977149940554078,0.010252882882372904
0.13986957309727704,0.010174188047602117
0.15075342095938835,0.010099560798455634
0.1624841874304756,0.01002887563781992
0.17512777485861603,0.009962003444430417
0.18875521373458673,0.009898812122257858
0.20344306173451437,0.009839167248965204
0.21927383381373303,0.00978293273732803
0.2363364657680808,0.009729971465777447
0.2547268138668767,0.009680145912069634
0.27454819336446956,0.009633318759916486
0.295911958915668,0.009589353479768744
0.3189381301557675,0.009548114875789444
0.3437560659596282,0.009509469596318074
0.3705051911677281,0.009473286618005488
0.39933577986186475,0.009439437665429427
0.43040979959088316,0.009407797576428772
0.4639018212892053,0.009378244697846386
0.5,0.009350661096966017
